,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
1867,T202105121420052p001115,215.0186031119025,0.1909034033580377,,,,,
1868,T202104151417489p013324,214.4607129919388,1.5653691506021652,,,,,
1869,A202103221420424m005909,215.1768862992884,-0.9861363290891184,,,,,
1870,A202104151447085p012349,221.78547509625395,1.3970068599497034,2.49446707030368,0.000590580144197077,0,271.389402942732,QSO
1871,T202103221426061m005404,216.5218475709132,-0.9015535629764728,,,,,
1872,A202103221432105m011938,218.0379699794934,-1.3266294747841256,,,,,
1873,A202104061429250p035356,217.3350857488169,3.881661380861648,,,,,
1874,A202103221437052m034004,219.271959937182,-3.667961478197544,,,,,
1875,T202105271206174m005511,181.5689242839946,-0.9246566883342648,,,,,
1876,A202104061451242m021316,222.85429074533013,-2.2155881418935457,,,,,
1877,A202103221431439m035616,217.9330165573975,-3.937880831434699,0.530667289929787,4.11415497168822e-05,0,633.030263541266,GALAXY
1878,A202104031433012p004332,218.2652053208266,0.7240517498517215,,,,,
1879,A202105301432587p023623,218.26460926052755,2.600651349807636,,,,,
1880,A202105151357215p060250,209.33978761040305,6.047348269694245,-0.00199570145091582,4.13115987161332e-48,1570,1.94266889222573e+84,STAR
1881,A202105181454143m010538,223.56260095509583,-1.0899059025347306,,,,,
1882,A202104271158588p004632,179.74539221296743,0.7756425435044966,0.0758147606531076,2.81240489664579e-05,0,704.881215274334,GALAXY
1883,T202104061433100m020237,218.28250074567856,-2.0418320984707443,,,,,
1884,A202103221411195m011025,212.82699484641216,-1.1690046146758712,,,,,
1885,A202105151443546m004840,220.9776309131153,-0.8114180642481926,,,,,
1886,A202105271218418p002820,184.6743609178228,0.4723512907467874,1.68102619725178,0.000240537706949451,0,17.5089030489326,QSO
1887,T202103221443426m004634,220.93253542733208,-0.7732592439848781,,,,,
1888,A202104151450417m031905,222.6855489903137,-3.322169813868268,,,,,
1889,A202104061419362m040241,214.90850046574997,-4.040503511592216,,,,,
1890,A202104181435026m003406,218.76117724572,-0.568749123603378,0.339660609120389,9.32052467731045e-06,0,2058.54598404467,GALAXY
1891,A202103221414413m000522,213.67249159507264,-0.0895622709983961,,,,,
1892,A202103221434153m001503,218.5640398314549,-0.2510798845904414,0.978380267943691,0.000397790079773605,0,335.788399300538,QSO
1893,T202106021411460m020655,212.9417420085461,-2.115017971100844,,,,,
1894,A202105271215472m003047,183.97357872612463,-0.503740760731847,,,,,
1895,A202104061454080m023217,223.53758645845247,-2.528894909696974,,,,,
1896,A202103221444301m022256,221.12571919776784,-2.38227403514079,0.18401709169683,1.66303061655818e-05,0,9637.68703639507,QSO
1897,T202104061427205m000713,216.83690735298853,-0.1261873801613391,,,,,
1898,T202104151406081p011148,211.52972692901628,1.2006784466688896,,,,,
1899,A202106021446189m013323,221.57832932425623,-1.5640235908887172,,,,,
1900,A202103221408423p001635,212.18252904977825,0.2749059413675893,,,,,
1901,T202104031439139p022251,219.8133729817368,2.377123017481176,,,,,
1902,A202105091400091p050322,210.0310232720833,5.057938489587676,0.278955122327895,7.44157009963892e-05,0,449.755212401971,GALAXY
1903,A202105151449326p000342,222.3792568258368,0.05531799109333,,,,,
1904,A202104091412323m014135,213.13469325085123,-1.695423494220459,,,,,
1905,T202103221410460p010610,212.68805432515185,1.127973352309878,,,,,
1906,T202105271214440m015732,183.6846309043627,-1.9742766891820565,,,,,
1907,T202105301434113p034128,218.5491571885023,3.6899399530695742,,,,,
1908,A202103221432532p005029,218.2185019664065,0.8248147686182286,,,,,
1909,A202105271215498m002330,183.95750592281144,-0.3917869004223531,0.723193987856945,0.000130178885314044,0,790.157641924918,QSO
1910,A202104091447346p010601,221.90010128345975,1.0654351889623477,,,,,
1911,A202105181446035m015059,221.51474106236589,-1.850090174656571,0.295001778200766,5.90946468307934e-05,0,688.020029887557,GALAXY
1912,A202104031414082m001624,213.53424750293084,-0.2738317012503097,0.142854804781869,0.000103908060762963,0,24.5708156190813,GALAXY
1913,A202104091439304p013350,219.87708132746943,1.564053056552264,,,,,
1914,A202105121442192p005126,220.58022950555437,0.8574830741486715,0.344571469303273,0.000110665553398391,0,160.668984181248,GALAXY
1915,A202104061448327m020938,222.1360324702709,-2.1596181271163486,,,,,
1916,A202103221409271p010347,212.36305026586345,1.0632963616563484,,,,,
